Date,08:00-10:00,10:30-12:30,14:00-16:00,16:30-18:30
2019-04-01,PURE,PHY,free,CS
2019-04-02,CS:CW,CS,free,STAT
2019-04-03,CS:CW,CS,free,PURE
2019-04-04,CS,PURE,CS:CW,free
2019-04-05,free,CS:CW,STAT,CS:CW
2019-04-06,free,PURE,STAT,STAT
2019-04-07,free,CS,STAT,PURE
2019-04-08,PHY,PURE,free,CS:CW
2019-04-09,PHY,STAT,free,CS
2019-04-10,PHY,STAT,free,CS:CW
2019-04-11,free,PHY,STAT,STAT
2019-04-12,free,CS:CW,CS:CW,CS:CW
2019-04-13,PURE,PURE,free,PHY
2019-04-14,CS:CW,CS,PHY,free
2019-04-15,CS,PHY,CS,free
2019-04-16,CS:CW,STAT,free,CS
2019-04-17,free,CS,PURE,CS
2019-04-18,PHY,STAT,PHY,free
2019-04-19,PURE,PHY,CS:CW,free
2019-04-20,PURE,PURE,free,CS
2019-04-21,STAT,PURE,PHY,free
